cell_angle	gene_angle	expression
-3.046077781882856	-2.985633373260498	-0.5297783
-3.046077781882856	-2.9224565029144287	-0.43720567
-3.046077781882856	-2.856133222579956	-0.53809464
-3.046077781882856	-2.797699213027954	-0.4924205
-3.046077781882856	-2.7291858196258545	-0.45105684
-3.046077781882856	-2.6618740558624268	-0.3218416
-3.046077781882856	-2.602829933166504	-0.4948444
-3.046077781882856	-2.5442583560943604	-0.44772443
-3.046077781882856	-2.4804086685180664	-0.31646854
-3.046077781882856	-2.415600299835205	-0.35370332
-3.046077781882856	-2.3584494590759277	-0.20906687
-3.046077781882856	-2.2947964668273926	-0.27041954
-3.046077781882856	-2.2297050952911377	-0.24362682
-3.046077781882856	-2.168456792831421	-0.19237179
-3.046077781882856	-2.101581573486328	-0.16263252
-3.046077781882856	-2.0458967685699463	-0.15263748
-3.046077781882856	-1.9777483940124512	-0.10864638
-3.046077781882856	-1.9128226041793823	-0.07865481
-3.046077781882856	-1.8519814014434814	0.020156125
-3.046077781882856	-1.7941845655441284	-0.031035548
-3.046077781882856	-1.7273229360580444	-0.101545975
-3.046077781882856	-1.6651979684829712	-0.02123912
-3.046077781882856	-1.6075050830841064	0.076334745
-3.046077781882856	-1.5443035364151	0.016570076
-3.046077781882856	-1.4727277755737305	0.24357966
-3.046077781882856	-1.4139424562454224	0.15648252
-3.046077781882856	-1.3455209732055664	0.25232923
-3.046077781882856	-1.2895607948303223	0.178651
-3.046077781882856	-1.221773386001587	0.21809189
-3.046077781882856	-1.164669156074524	0.3268013
-3.046077781882856	-1.099971055984497	0.2446046
-3.046077781882856	-1.0343983173370361	0.39739197
-3.046077781882856	-0.9739236831665039	0.26511362
-3.046077781882856	-0.9119856357574463	0.31108475
-3.046077781882856	-0.8440308570861816	0.4232402
-3.046077781882856	-0.7903368473052979	0.41408646
-3.046077781882856	-0.7244436740875244	0.399303
-3.046077781882856	-0.6612889766693115	0.4107762
-3.046077781882856	-0.595792293548584	0.37214068
-3.046077781882856	-0.5361325740814209	0.42306304
-3.046077781882856	-0.47090935707092285	0.52725476
-3.046077781882856	-0.4109535217285156	0.43340814
-3.046077781882856	-0.34644317626953125	0.4486008
-3.046077781882856	-0.2832071781158447	0.45594072
-3.046077781882856	-0.21805453300476074	0.46368644
-3.046077781882856	-0.1574387550354004	0.39248863
-3.046077781882856	-0.08918452262878418	0.57474583
-3.046077781882856	-0.028408050537109375	0.48084843
-3.046077781882856	0.024336814880371094	0.5386407
-3.046077781882856	0.09090685844421387	0.4255975
-3.046077781882856	0.15960693359375	0.42374846
-3.046077781882856	0.22107338905334473	0.4059252
-3.046077781882856	0.2856314182281494	0.45525086
-3.046077781882856	0.3498544692993164	0.44762862
-3.046077781882856	0.4086422920227051	0.21798123
-3.046077781882856	0.47290992736816406	0.2281194
-3.046077781882856	0.5360541343688965	0.21424504
-3.046077781882856	0.5956895351409912	0.23000808
-3.046077781882856	0.6555202007293701	0.11129748
-3.046077781882856	0.7196800708770752	0.16259281
-3.046077781882856	0.7912805080413818	0.010442117
-3.046077781882856	0.84893798828125	0.10714138
-3.046077781882856	0.9053328037261963	-0.10084152
-3.046077781882856	0.9757659435272217	0.0037169254
-3.046077781882856	1.0212981700897217	-0.1413703
-3.046077781882856	1.099482774734497	-0.1163264
-3.046077781882856	1.1618053913116455	-0.25840458
-3.046077781882856	1.226590871810913	-0.29079387
-3.046077781882856	1.294706106185913	-0.33135906
-3.046077781882856	1.3497602939605713	-0.3855812
-3.046077781882856	1.414992094039917	-0.4573516
-3.046077781882856	1.4737060070037842	-0.5484784
-3.046077781882856	1.542611837387085	-0.5512145
-3.046077781882856	1.6040899753570557	-0.62648344
-3.046077781882856	1.6686322689056396	-0.5874015
-3.046077781882856	1.728276014328003	-0.66982985
-3.046077781882856	1.7889163494110107	-0.5710373
-3.046077781882856	1.853238821029663	-0.63763386
-3.046077781882856	1.9198367595672607	-0.76747334
-3.046077781882856	1.980355978012085	-0.7734751
-3.046077781882856	2.0421578884124756	-0.74898356
-3.046077781882856	2.1045191287994385	-0.8385789
-3.046077781882856	2.1704089641571045	-0.8031904
-3.046077781882856	2.2266242504119873	-0.814338
-3.046077781882856	2.297947645187378	-0.916384
-3.046077781882856	2.358506441116333	-0.8969586
-3.046077781882856	2.4147870540618896	-0.74851525
-3.046077781882856	2.4859201908111572	-0.8189911
-3.046077781882856	2.5432288646698	-0.84335357
-3.046077781882856	2.606581449508667	-0.86193436
-3.046077781882856	2.670215368270874	-0.81716144
-3.046077781882856	2.731062650680542	-0.81475747
-3.046077781882856	2.7927157878875732	-0.8971332
-3.046077781882856	2.8619792461395264	-0.7903092
-3.046077781882856	2.922391653060913	-0.785019
-3.046077781882856	2.9931423664093018	-0.6188357
-3.046077781882856	3.0448696613311768	-0.7574124
-3.046077781882856	3.10886549949646	-0.7225763
-2.9840456194942377	-3.109478712081909	-0.6589496
-2.9840456194942377	-3.0473597049713135	-0.6299402
-2.9840456194942377	-2.985633373260498	-0.5480553
-2.9840456194942377	-2.9224565029144287	-0.46146256
-2.9840456194942377	-2.856133222579956	-0.56458557
-2.9840456194942377	-2.797699213027954	-0.51208544
-2.9840456194942377	-2.7291858196258545	-0.4749515
-2.9840456194942377	-2.6618740558624268	-0.35213065
-2.9840456194942377	-2.602829933166504	-0.49524274
-2.9840456194942377	-2.5442583560943604	-0.4596559
-2.9840456194942377	-2.4804086685180664	-0.34024832
-2.9840456194942377	-2.415600299835205	-0.40180737
-2.9840456194942377	-2.3584494590759277	-0.22503294
-2.9840456194942377	-2.2947964668273926	-0.2654532
-2.9840456194942377	-2.2297050952911377	-0.2626518
-2.9840456194942377	-2.168456792831421	-0.2059944
-2.9840456194942377	-2.101581573486328	-0.14207514
-2.9840456194942377	-2.0458967685699463	-0.1475246
-2.9840456194942377	-1.9777483940124512	-0.1348731
-2.9840456194942377	-1.9128226041793823	-0.11268217
-2.9840456194942377	-1.8519814014434814	-0.027027637
-2.9840456194942377	-1.7941845655441284	-0.043602537
-2.9840456194942377	-1.7273229360580444	-0.13522726
-2.9840456194942377	-1.6651979684829712	-0.05845474
-2.9840456194942377	-1.6075050830841064	0.04481415
-2.9840456194942377	-1.5443035364151	0.005619685
-2.9840456194942377	-1.4727277755737305	0.19850463
-2.9840456194942377	-1.4139424562454224	0.1332217
-2.9840456194942377	-1.3455209732055664	0.2106985
-2.9840456194942377	-1.2895607948303223	0.13973755
-2.9840456194942377	-1.221773386001587	0.17115104
-2.9840456194942377	-1.164669156074524	0.24379568
-2.9840456194942377	-1.099971055984497	0.22494347
-2.9840456194942377	-1.0343983173370361	0.36054057
-2.9840456194942377	-0.9739236831665039	0.26188493
-2.9840456194942377	-0.9119856357574463	0.2899552
-2.9840456194942377	-0.8440308570861816	0.36751887
-2.9840456194942377	-0.7903368473052979	0.3566446
-2.9840456194942377	-0.7244436740875244	0.37033466
-2.9840456194942377	-0.6612889766693115	0.38341254
-2.9840456194942377	-0.595792293548584	0.31986487
-2.9840456194942377	-0.5361325740814209	0.40143102
-2.9840456194942377	-0.47090935707092285	0.49551076
-2.9840456194942377	-0.4109535217285156	0.39386132
-2.9840456194942377	-0.34644317626953125	0.41754597
-2.9840456194942377	-0.2832071781158447	0.42085287
-2.9840456194942377	-0.21805453300476074	0.43254077
-2.9840456194942377	-0.1574387550354004	0.36068788
-2.9840456194942377	-0.08918452262878418	0.57561845
-2.9840456194942377	-0.028408050537109375	0.50840235
-2.9840456194942377	0.024336814880371094	0.5042699
-2.9840456194942377	0.09090685844421387	0.41523132
-2.9840456194942377	0.15960693359375	0.42989698
-2.9840456194942377	0.22107338905334473	0.41978425
-2.9840456194942377	0.2856314182281494	0.46375725
-2.9840456194942377	0.3498544692993164	0.46013793
-2.9840456194942377	0.4086422920227051	0.25655994
-2.9840456194942377	0.47290992736816406	0.22571364
-2.9840456194942377	0.5360541343688965	0.23561825
-2.9840456194942377	0.5956895351409912	0.26325136
-2.9840456194942377	0.6555202007293701	0.13892145
-2.9840456194942377	0.7196800708770752	0.20330417
-2.9840456194942377	0.7912805080413818	0.0630398
-2.9840456194942377	0.84893798828125	0.13435514
-2.9840456194942377	0.9053328037261963	-0.057153814
-2.9840456194942377	0.9757659435272217	0.020346459
-2.9840456194942377	1.0212981700897217	-0.09931206
-2.9840456194942377	1.099482774734497	-0.09284846
-2.9840456194942377	1.1618053913116455	-0.17212534
-2.9840456194942377	1.226590871810913	-0.28128707
-2.9840456194942377	1.294706106185913	-0.29695395
-2.9840456194942377	1.3497602939605713	-0.34773117
-2.9840456194942377	1.414992094039917	-0.41965574
-2.9840456194942377	1.4737060070037842	-0.49932685
-2.9840456194942377	1.542611837387085	-0.5311265
-2.9840456194942377	1.6040899753570557	-0.58313686
-2.9840456194942377	1.6686322689056396	-0.55572265
-2.9840456194942377	1.728276014328003	-0.63663024
-2.9840456194942377	1.7889163494110107	-0.53029406
-2.9840456194942377	1.853238821029663	-0.62352115
-2.9840456194942377	1.9198367595672607	-0.7527598
-2.9840456194942377	1.980355978012085	-0.78590447
-2.9840456194942377	2.0421578884124756	-0.72984236
-2.9840456194942377	2.1045191287994385	-0.8246967
-2.9840456194942377	2.1704089641571045	-0.7665522
-2.9840456194942377	2.2266242504119873	-0.79606277
-2.9840456194942377	2.297947645187378	-0.90869963
-2.9840456194942377	2.358506441116333	-0.89748013
-2.9840456194942377	2.4147870540618896	-0.7401444
-2.9840456194942377	2.4859201908111572	-0.8063538
-2.9840456194942377	2.5432288646698	-0.83074635
-2.9840456194942377	2.606581449508667	-0.86401314
-2.9840456194942377	2.670215368270874	-0.7757422
-2.9840456194942377	2.731062650680542	-0.77676994
-2.9840456194942377	2.7927157878875732	-0.9413133
-2.9840456194942377	2.8619792461395264	-0.81338835
-2.9840456194942377	2.922391653060913	-0.7994026
-2.9840456194942377	2.9931423664093018	-0.586816
-2.9840456194942377	3.0448696613311768	-0.7881957
-2.9840456194942377	3.10886549949646	-0.7075363
-2.923034146882906	-3.109478712081909	-0.63908654
-2.923034146882906	-3.0473597049713135	-0.643724
-2.923034146882906	-2.985633373260498	-0.61893433
-2.923034146882906	-2.9224565029144287	-0.47481367
-2.923034146882906	-2.856133222579956	-0.5591697
-2.923034146882906	-2.797699213027954	-0.4900573
-2.923034146882906	-2.7291858196258545	-0.48767596
-2.923034146882906	-2.6618740558624268	-0.38898778
