	N	D	A
94	3070	-2.857023697358	-1.580174
95	3070	-2.856509309287389	-2.2418795
96	3070	-2.8529058854874765	-2.613855
97	3070	-2.851138014907955	-2.3622591
98	3070	-2.8471772267642494	-2.0582273
99	3070	-2.828699865806771	-3.031831
100	3070	-2.827167530817477	-2.2809577
101	3070	-2.8269780194230414	-2.801753
102	3070	-2.826041291673402	-2.0936294
103	3070	-2.8233258641217023	-2.0649827
104	3070	-2.821211458420927	-2.0549264
105	3070	-2.814705802980514	-2.0728598
106	3070	-2.8137203437294485	-1.674518
107	3070	-2.8057798163025933	-2.7573562
108	3070	-2.8034352896228607	-2.8749774
109	3070	-2.802701609795831	-1.7899458
110	3070	-2.80185963774341	-2.0994606
111	3070	-2.7999699384103227	-2.1193676
112	3070	-2.791217219293029	-1.9876513
113	3070	-2.7883447680145115	-1.7061968
114	3070	-2.7837558849635333	-3.0157125
115	3070	-2.7827460599617546	-1.6307329
116	3070	-2.777223156466772	-3.0840988
117	3070	-2.775279311020989	-2.486599
118	3070	-2.77235000632414	-2.1932602
119	3070	-2.7533203550171637	-2.7157936
120	3070	-2.7412376499690723	-2.806108
121	3070	-2.7387198557287125	-1.4086076
122	3070	-2.7363265975475533	-1.9340845
123	3070	-2.7347211653061194	-1.7221086
124	3070	-2.7323685167094824	-2.2264304
125	3070	-2.7311935460639813	-1.58926
126	3070	-2.7209626380700893	-1.2618701
127	3070	-2.719251620908899	-1.1866242
128	3070	-2.716817753143218	-1.4519112
129	3070	-2.7085252759838396	-1.7392179
130	3070	-2.7080000586906894	-2.0038233
131	3070	-2.705330655334781	-1.4191357
132	3070	-2.6679481791295268	-1.9681532
133	3070	-2.6655657501709067	2.8561394
134	3070	-2.6625010801923183	-1.5636537
135	3070	-2.6566722511606042	-1.8865781
136	3070	-2.6547906737444213	-1.2883469
137	3070	-2.654384577899202	-2.3634756
138	3070	-2.65262753654222	-1.8880092
139	3070	-2.6496955245397364	-1.4003435
140	3070	-2.646224758715929	-1.880301
141	3070	-2.6432575517401933	-2.7921946
142	3070	-2.6389881307541208	-1.7189465
143	3070	-2.6370740656703204	-1.7736547
144	3070	-2.636800627801206	-2.019472
145	3070	-2.6350354645273195	-2.7321606
146	3070	-2.634152882890376	-1.468173
147	3070	-2.6309609695469525	-0.8990257
148	3070	-2.627963982209234	-2.0143023
149	3070	-2.623515879051265	-1.0768869
150	3070	-2.6211659377602627	-1.9635775
151	3070	-2.6200153328654747	-1.6730585
152	3070	-2.6178088787731166	-1.6213729
153	3070	-2.61505013433126	-1.2022039
154	3070	-2.611265321053816	-0.4296372
155	3070	-2.6098033760110266	-1.7501986
156	3070	-2.606955290483222	-2.147359
157	3070	-2.6039312300891555	-1.3852422
158	3070	-2.597558232624847	-1.0798829
159	3070	-2.597008649580984	-2.8129864
160	3070	-2.594623513316729	-1.4865553
161	3070	-2.593267153193697	-3.114451
162	3070	-2.5925172295328585	-1.9931359
163	3070	-2.5893686330795913	-1.8886799
164	3070	-2.5818396161092254	-1.7671113
165	3070	-2.57853941054041	-0.8309591
166	3070	-2.57238570483252	-0.9234383
167	3070	-2.5510331852908887	0.581033
168	3070	-2.5393322103373035	-0.81251645
169	3070	-2.534058378960722	-1.1611066
170	3070	-2.5263885820973466	-1.4006736
171	3070	-2.5216535045420896	-2.6113532
172	3070	-2.521236579474331	-1.4754201
173	3070	-2.518496786171918	-1.2653604
174	3070	-2.5162307713555947	-2.1376278
175	3070	-2.51179079011453	-1.4903986
176	3070	-2.505563987154501	-1.9723915
177	3070	-2.5048140634936624	-1.5428119
178	3070	-2.5029081203267665	-1.3375406
179	3070	-2.4988498691802086	-1.7702427
180	3070	-2.497850873400969	-0.8906822
181	3070	-2.49300750362032	-1.002269
182	3070	-2.4750607745672615	-1.6104492
183	3070	-2.472285786291596	-1.4612542
184	3070	-2.467022784137554	-2.2824585
185	3070	-2.466042739497758	-2.0500708
186	3070	-2.465815325824435	-1.6849443
187	3070	-2.4652711573918413	-1.5602822
188	3070	-2.465051865635423	-1.5239491
189	3070	-2.4645374775648117	-1.2631241
190	3070	-2.460709347397211	-1.420503
191	3070	-2.459667034727815	-1.09761
192	3070	-2.457761091560919	-1.295653
193	3070	-2.4565915355266874	-1.541605
194	3070	-2.453567475132621	-1.3597754
195	3070	-2.4520405547545963	-1.0409741
196	3070	-2.4501860503947617	-0.43881917
197	3070	-2.4390725607639268	0.15913868
198	3070	-2.427062952967974	-0.5368321
199	3070	-2.425165131717983	-2.1923249
200	3070	-2.4214263426363303	-0.8176522
201	3070	-2.4193498392144424	1.4842327
202	3070	-2.4168022646121	-0.9697521
203	3070	-2.4151020766734486	-2.2489634
204	3070	-2.409971732495511	-1.0943894
205	3070	-2.4080522528004416	-1.8353804
206	3070	-2.407795058765136	-1.2204533
207	3070	-2.405594019284047	-1.802166
208	3070	-2.4026863730322767	-0.40743113
209	3070	-2.400753356809033	-1.612406
210	3070	-2.398649780330797	-1.3432373
211	3070	-2.3978781982248805	-1.9034748
212	3070	-2.3941962625615587	-2.419041
213	3070	-2.390422278506654	-1.1808857
214	3070	-2.3833535034942033	-1.0465391
215	3070	-2.379019107172896	-2.1845975
216	3070	-2.3635820504432927	-0.9676299
217	3070	-2.3611752557339596	-1.7957419
218	3070	-2.360750208749297	-2.835417
219	3070	-2.357506856598812	-1.7294899
220	3070	-2.353091241108461	-1.4518458
221	3070	-2.34906547762952	-1.6487933
222	3070	-2.338531351404531	-2.1442878
223	3070	-2.3354423156752295	-2.3091052
224	3070	-2.3349008545482706	-0.8707361
225	3070	-2.324334240655664	-1.0819459
226	3070	-2.3172329779755962	-1.0028043
227	3070	-2.313775748679962	-1.6227951
228	3070	-2.30943864505302	-1.1442016
229	3070	-2.308017309594753	-0.62479377
230	3070	-2.2975237929542858	-3.0168087
